study_code,group,completed_at_ms,liked_most,main_difficulty,privacy_comment,suggested_improvement,coded_theme
P-01X,INTERVENTION,1779539580000,The break reminders made me notice long scrolling sessions.,Some prompts appeared while I was still deciding whether to continue.,I was comfortable with study-code exports as long as raw captions and screenshots were not saved.,Let users choose quiet hours or a gentler prompt frequency.,Prompt timing and interruption
P-02Y,CONTROL,1779539760000,The risk summary helped me compare short and long scrolling sessions.,The numbers were useful but could use more plain-language labels.,I was comfortable with study-code exports as long as raw captions and screenshots were not saved.,"Add weekly trends and clearer safe, warning, and critical explanations.",Dashboard usefulness
P-03X,INTERVENTION,1779539940000,The break reminders made me notice long scrolling sessions.,Some prompts appeared while I was still deciding whether to continue.,I was comfortable with study-code exports as long as raw captions and screenshots were not saved.,Let users choose quiet hours or a gentler prompt frequency.,Prompt timing and interruption
P-04Y,CONTROL,1779540120000,The dashboard still summarized my activity without saving raw posts.,Some sessions seemed harder for the app to interpret.,I was comfortable with study-code exports as long as raw captions and screenshots were not saved.,Make platform detection and sentiment reliability clearer in the dashboard.,Technical reliability
P-05X,INTERVENTION,1779540300000,The break reminders made me notice long scrolling sessions.,Some prompts appeared while I was still deciding whether to continue.,I was comfortable with study-code exports as long as raw captions and screenshots were not saved.,Let users choose quiet hours or a gentler prompt frequency.,Prompt timing and interruption
P-06Y,CONTROL,1779540480000,The dashboard still summarized my activity without saving raw posts.,Some sessions seemed harder for the app to interpret.,I was comfortable with study-code exports as long as raw captions and screenshots were not saved.,Make platform detection and sentiment reliability clearer in the dashboard.,Technical reliability
P-07X,INTERVENTION,1779540660000,The break reminders made me notice long scrolling sessions.,Some prompts appeared while I was still deciding whether to continue.,I was comfortable with study-code exports as long as raw captions and screenshots were not saved.,Let users choose quiet hours or a gentler prompt frequency.,Prompt timing and interruption
P-08Y,CONTROL,1779540840000,The risk summary helped me compare short and long scrolling sessions.,The numbers were useful but could use more plain-language labels.,I was comfortable with study-code exports as long as raw captions and screenshots were not saved.,"Add weekly trends and clearer safe, warning, and critical explanations.",Dashboard usefulness
P-09X,INTERVENTION,1779541020000,The break reminders made me notice long scrolling sessions.,Some prompts appeared while I was still deciding whether to continue.,I was comfortable with study-code exports as long as raw captions and screenshots were not saved.,Let users choose quiet hours or a gentler prompt frequency.,Prompt timing and interruption
P-10Y,CONTROL,1779541200000,The dashboard still summarized my activity without saving raw posts.,Some sessions seemed harder for the app to interpret.,I was comfortable with study-code exports as long as raw captions and screenshots were not saved.,Make platform detection and sentiment reliability clearer in the dashboard.,Technical reliability
